"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",9400,"OKC@Uta 09:00PM ET",54.343,"OKC"
"SF","Kevin Durant",9000,"OKC@Uta 09:00PM ET",43.481,"OKC"
"PG","Stephen Curry",8600,"GS@LAC 10:30PM ET",46.391,"GS"
"PG","Chris Paul",8500,"GS@LAC 10:30PM ET",44.880,"LAC"
"PF","Blake Griffin",8400,"GS@LAC 10:30PM ET",43.907,"LAC"
"PF","Pau Gasol",7500,"Ind@Chi 08:00PM ET",41.139,"Chi"
"SF","Paul George",7500,"Ind@Chi 08:00PM ET",16.667,"Ind"
"SF","Kawhi Leonard",7400,"Pho@SA 08:30PM ET",35.637,"SA"
"PF","LaMarcus Aldridge",7300,"Pho@SA 08:30PM ET",42.434,"SA"
"SG","Eric Bledsoe",7300,"Pho@SA 08:30PM ET",36.071,"Pho"
"C","DeAndre Jordan",7100,"GS@LAC 10:30PM ET",38.091,"LAC"
"PF","Greg Monroe",7100,"Min@Mil 08:00PM ET",34.681,"Mil"
"SF","Gordon Hayward",7100,"OKC@Uta 09:00PM ET",34.668,"Uta"
"SG","Klay Thompson",7000,"GS@LAC 10:30PM ET",33.689,"GS"
"C","Rudy Gobert",7000,"OKC@Uta 09:00PM ET",28.125,"Uta"
"SG","Jimmy Butler",6900,"Ind@Chi 08:00PM ET",37.474,"Chi"
"PF","Derrick Favors",6900,"OKC@Uta 09:00PM ET",33.166,"Uta"
"SG","Monta Ellis",6800,"Ind@Chi 08:00PM ET",32.335,"Ind"
"PF","Draymond Green",6800,"GS@LAC 10:30PM ET",34.758,"GS"
"PG","Brandon Knight",6800,"Pho@SA 08:30PM ET",31.891,"Pho"
"PG","Michael Carter-Williams",6800,"Min@Mil 08:00PM ET",33.854,"Mil"
"SF","Andrew Wiggins",6600,"Min@Mil 08:00PM ET",28.238,"Min"
"PG","Derrick Rose",6500,"Ind@Chi 08:00PM ET",32.012,"Chi"
"PF","Markieff Morris",6500,"Pho@SA 08:30PM ET",29.512,"Pho"
"PF","Tim Duncan",6400,"Pho@SA 08:30PM ET",35.851,"SA"
"PF","Serge Ibaka",6400,"OKC@Uta 09:00PM ET",31.387,"OKC"
"PF","Nikola Mirotic",6400,"Ind@Chi 08:00PM ET",19.935,"Chi"
"C","Karl-Anthony Towns",6200,"Min@Mil 08:00PM ET",0,"Min"
"C","Joakim Noah",6100,"Ind@Chi 08:00PM ET",29.082,"Chi"
"PG","George Hill",6100,"Ind@Chi 08:00PM ET",31.808,"Ind"
"PG","Ricky Rubio",6100,"Min@Mil 08:00PM ET",33.534,"Min"
"C","Tyson Chandler",6000,"Pho@SA 08:30PM ET",29.694,"Pho"
"C","Enes Kanter",6000,"OKC@Uta 09:00PM ET",29.283,"OKC"
"SF","Giannis Antetokounmpo",5900,"Min@Mil 08:00PM ET",27.948,"Mil"
"SG","Khris Middleton",5800,"Min@Mil 08:00PM ET",25.909,"Mil"
"C","Gorgui Dieng",5800,"Min@Mil 08:00PM ET",28.065,"Min"
"SG","Alec Burks",5700,"OKC@Uta 09:00PM ET",24.944,"Uta"
"PG","Trey Burke",5700,"OKC@Uta 09:00PM ET",24.796,"Uta"
"SG","Danny Green",5600,"Pho@SA 08:30PM ET",24.764,"SA"
"SG","J.J. Redick",5400,"GS@LAC 10:30PM ET",23.410,"LAC"
"SF","P.J. Tucker",5400,"Pho@SA 08:30PM ET",22.885,"Pho"
"C","Andrew Bogut",5400,"GS@LAC 10:30PM ET",23.779,"GS"
"PG","Zach LaVine",5400,"Min@Mil 08:00PM ET",19.812,"Min"
"PF","Josh Smith",5200,"GS@LAC 10:30PM ET",29.310,"LAC"
"SG","Kevin Martin",5100,"Min@Mil 08:00PM ET",29.679,"Min"
"PF","Jordan Hill",5100,"Ind@Chi 08:00PM ET",26.343,"Ind"
"SG","Jamal Crawford",5000,"GS@LAC 10:30PM ET",23.718,"LAC"
"PG","Tony Parker",5000,"Pho@SA 08:30PM ET",24.267,"SA"
"SF","Andre Iguodala",5000,"GS@LAC 10:30PM ET",20.487,"GS"
"SF","Harrison Barnes",5000,"GS@LAC 10:30PM ET",21.444,"GS"
"C","Myles Turner",5000,"Ind@Chi 08:00PM ET",0,"Ind"
