Player,Our Prediction,DraftKings Prediction
Anthony Davis,41.510563342529778,48.588000000000001
Blake Griffin,40.38593640339375,45.0
Andre Drummond,39.892714233664236,47.75
Kyle Lowry,41.666287894812783,44.131
Damian Lillard,36.128575840140357,43.082999999999998
John Wall,41.098055818571524,41.263999999999996
Kawhi Leonard,34.130087651561816,41.563000000000002
Chris Paul,29.415887872757985,36.950000000000003
Eric Bledsoe,40.258171677448502,41.049999999999997
Carmelo Anthony,34.752375029627572,36.570999999999998
Kristaps Porzingis,33.55892249116134,32.356999999999999
Isaiah Thomas,33.826560617233383,36.663000000000004
Jimmy Butler,36.524771607560666,37.470999999999997
Brandon Knight,35.331217568080135,38.619
Reggie Jackson,36.368745424697394,36.856999999999999
Pau Gasol,39.949787898771682,37.234999999999999
Nicolas Batum,36.809917373615136,35.539000000000001
Chris Bosh,32.068715343003866,36.042000000000002
Kemba Walker,33.085941479276222,34.368000000000002
Hassan Whiteside,29.651987964740389,37.167000000000002
Robert Covington,33.943087976621911,32.167000000000002
DeMar DeRozan,37.247114544462917,34.332999999999998
Bradley Beal,37.76203391447612,33.733000000000004
Tyreke Evans,34.566210200895711,38.167000000000002
Dirk Nowitzki,31.134328261812303,32.600000000000001
DeAndre Jordan,30.832055704947869,34.924999999999997
Andrew Wiggins,33.34030065134408,31.25
Dwyane Wade,30.992743077334527,32.103000000000002
Greg Monroe,32.619260840172693,35.881
Karl-Anthony Towns,26.054572808011855,33.118000000000002
Jahlil Okafor,32.917568582626153,31.986999999999998
LaMarcus Aldridge,32.096897419519706,31.091999999999999
Deron Williams,36.668731976416481,30.913
Ish Smith,25.663386895080588,30.053000000000001
Ricky Rubio,28.108714034664402,31.673000000000002
C.J. McCollum,35.621264283255819,32.356999999999999
Giannis Antetokounmpo,29.674969496916596,30.963000000000001
Derrick Rose,35.51298074013043,28.016999999999999
Avery Bradley,28.901101396686336,27.125
Kobe Bryant,32.987393485351213,27.881999999999998
Zaza Pachulia,30.572548936853448,28.940000000000001
Marcus Morris,30.773540236898441,28.344999999999999
Al Jefferson,25.0076833422889,27.940999999999999
Jared Sullinger,27.301763175698312,29.100000000000001
Julius Randle,29.614304508482924,28.725000000000001
Ryan Anderson,31.667722551430337,30.813000000000002
Nerlens Noel,24.466769916222979,25.824000000000002
Tim Duncan,30.83144634013178,29.824999999999999
Marcin Gortat,34.456187451248027,28.484000000000002
Jordan Clarkson,28.66411894105546,25.338000000000001
Jamal Crawford,24.340888252490366,20.125
Marvin Williams,26.817211332980577,25.553000000000001
Markieff Morris,23.305832386705806,22.940999999999999
Jonas Valanciunas,26.627293532277438,26.714000000000002
DeMarre Carroll,25.471954166764565,24.846999999999998
Jae Crowder,26.07112682831605,25.949999999999999
Otto Porter,0,24.388999999999999
Michael Carter-Williams,27.465803584799932,24.438000000000002
Isaiah Canaan,25.717089786962966,20.548000000000002
Mason Plumlee,22.949504255349066,27.488000000000003
Tony Parker,24.926607793166564,24.464000000000002
Eric Gordon,21.187879831673463,26.838000000000001
Al-Farouq Aminu,22.742796334411118,25.881
Khris Middleton,29.925657690992043,25.844999999999999
Jerami Grant,24.757643342337744,23.475999999999999
Zach LaVine,30.018361946336739,25.486999999999998
D'Angelo Russell,28.788677905864642,23.649999999999999
Goran Dragic,27.731995953294557,23.846999999999998
Jerryd Bayless,28.496575335060456,24.158000000000001
Ed Davis,23.412885372765587,21.774000000000001
Nikola Mirotic,24.161233905012441,23.925999999999998
O.J. Mayo,30.648112859427606,19.625
Evan Turner,22.210823240143377,22.149999999999999
Bismack Biyombo,24.56836331074652,15.988
Luis Scola,19.054007629939797,20.238
Wesley Matthews,30.555442225358973,21.868000000000002
Gorgui Dieng,25.728255353373942,20.224
T.J. Warren,17.664794010984892,18.863
Roy Hibbert,22.9549479600363,22.763000000000002
T.J. McConnell,19.726001820300734,24.393000000000001
Marcus Smart,26.92181225140946,23.278000000000002
Jabari Parker,24.570026399520199,18.167000000000002
Joakim Noah,26.180551181187248,20.953000000000003
Arron Afflalo,25.153867566950662,21.385000000000002
Ersan Ilyasova,22.177700312636077,18.262
Amir Johnson,27.163557819502795,21.138000000000002
Meyers Leonard,22.641494749072265,19.054000000000002
Jeremy Lamb,22.967823210716364,22.833000000000002
Kentavious Caldwell-Pope,29.475485363685344,23.179000000000002
Gerald Green,27.818279700702728,15.604000000000001
Jon Leuer,22.786097272531762,18.179000000000002
Jrue Holiday,20.147024837608228,21.533000000000001
Cody Zeller,17.912129219094485,16.911999999999999
Manu Ginobili,19.728432266555078,22.131999999999998
Tyson Chandler,12.250370563490794,19.132999999999999
Jared Dudley,19.644988901007551,15.118
Lou Williams,0,21.180999999999997
Dwight Powell,13.800644517779311,21.300000000000001
J.J. Redick,17.165282026746588,18.672000000000001
Luol Deng,22.936956462017744,20.192
P.J. Tucker,24.595739255736333,16.582999999999998
Cory Joseph,24.224430883664009,19.225999999999999
Alex Len,23.563130328332335,15.642999999999999
Stanley Johnson,22.660589563918357,16.606999999999999
Jose Calderon,21.41340897985161,18.594999999999999
Jeremy Lin,16.883315425207257,20.553000000000001
Chandler Parsons,21.061484100183019,14.767999999999999
Raymond Felton,29.032451360155086,18.570999999999998
Danny Green,23.118199835238354,18.0
Taj Gibson,19.626878882362693,17.559000000000001
Brandon Jennings,0,0.0
Hollis Thompson,23.475539445811261,19.131
Nemanja Bjelica,15.143804147554476,19.016999999999999
Austin Rivers,20.344109334953625,14.163
Tony Wroten,11.499395283539659,6.0
Justise Winslow,22.515100367336228,16.152999999999999
Nene Hilario,15.701665849651061,17.603999999999999
Robin Lopez,17.781581782322675,19.417000000000002
Kelly Olynyk,17.106855423308236,17.645
Tyler Johnson,18.223864822137863,17.294
David West,13.125748767986849,13.380999999999998
Mirza Teletovic,17.378251701476298,15.179
Kevin Martin,16.172762194692563,17.457999999999998
Kris Humphries,12.228948320672293,14.405999999999999
Josh Smith,17.697267674545785,15.962999999999999
Spencer Hawes,13.283209298002527,14.305999999999999
Langston Galloway,18.957897059753826,19.238
David Lee,15.298649063822701,14.920999999999999
Aaron Brooks,14.810159342183422,15.635999999999999
Brandon Bass,12.967335416413324,13.632
Ramon Sessions,12.885417137808329,16.305999999999997
Patrick Patterson,17.776843309148777,14.488
Patty Mills,17.816654358496756,16.619
John Henson,19.248897404929785,15.515000000000001
Lance Stephenson,19.001109990366814,13.132
Nick Young,12.492352509862769,14.027999999999999
Greivis Vasquez,15.615155322106201,17.047000000000001
Boris Diaw,19.047989716681389,14.630999999999998
Allen Crabbe,17.173220315139258,14.702
Doug McDermott,17.613979802696608,13.882
Frank Kaminsky,0,10.75
Nik Stauskas,11.593415835580551,16.617999999999999
Paul Pierce,9.3459820798392048,10.895
Metta World Peace,13.375993958393625,12.312999999999999
Kirk Hinrich,20.199346527037456,14.312999999999999
Devin Harris,13.987489579028757,15.663
Gary Neal,17.659403701315465,15.187999999999999
J.J. Barea,18.136531686970073,17.390999999999998
Josh McRoberts,16.14223912429388,10.944000000000001
Omer Asik,10.840997127544874,8.4420000000000002
Ryan Hollins,0,2.6669999999999998
Charlie Villanueva,9.7699784106879886,12.170999999999999
Anthony Tolliver,16.072399135283007,12.212999999999999
Garrett Temple,13.650479474728815,10.827999999999999
Dante Cunningham,13.79324535861398,13.013
Gerald Henderson,11.912790466590858,10.808
Norris Cole,16.501637324530797,12.083
Alexis Ajinca,12.688034098462417,11.265999999999998
Nikola Pekovic,0,0.0
Kevin Seraphin,22.790118824387619,11.382
Tony Snell,12.250007633581152,12.618
Maurice Harkless,15.956728840345614,14.225999999999999
Jakarr Sampson,0,11.130999999999998
Shabazz Muhammad,12.153916842943637,11.118
Wesley Johnson,10.133736716116802,10.187999999999999
Kevin Garnett,15.431870380370597,13.970999999999998
Andre Miller,18.837463150716726,13.860999999999999
Matt Bonner,0,2.875
Steve Blake,11.269152711217027,10.779000000000002
Chris Kaman,19.148321928279088,8.1669999999999998
Louis Amundson,0,6.1500000000000004
Alan Anderson,0,0.0
Chris Andersen,0,4.4169999999999998
Ronnie Price,8.607504704633083,8.8819999999999997
Drew Gooden,8.4012269391427932,11.542
Amar'e Stoudemire,8.6531749004454213,9.0
Tayshaun Prince,7.2752823657778034,7.2759999999999998
Rasual Butler,5.4909006708024588,6.7350000000000003
Mike Dunleavy,0,0.0
Chris Copeland,0,4.5330000000000004
Kendrick Perkins,-3.8894872469134931,9.6669999999999998
Udonis Haslem,5.1623194589965085,6.0
Sasha Vujacic,4.5826708369842386,9.875
Beno Udrih,5.711109477896871,9.4039999999999999
Toney Douglas,9.0278916529009141,13.625
Carl Landry,0,0.0
Brian Roberts,5.7616539071471458,6.3129999999999997
Joel Anthony,1.6701296595850224,5.0830000000000002
Luc Richard Mbah a Moute,0,4.181
Tyler Hansbrough,3.8334044069312654,7.1789999999999994
Aron Baynes,14.801929494759296,10.417
Alonzo Gee,15.639671107448599,10.75
Quincy Pondexter,0,0.0
Jodie Meeks,0,2.0
Lance Thomas,17.772578382886742,10.429
Sonny Weems,0,4.5
JaVale McGee,9.5989624630282986,9.3000000000000007
Jeremy Evans,3.5694422627242446,5.7329999999999997
James Johnson,3.4765803891668163,8.641
E'Twaun Moore,10.641222902175135,10.25
Cole Aldrich,0,2.0499999999999998
Robert Sacre,4.9709308642837744,7.625
DeJuan Blair,5.7161614413442194,6.7810000000000006
Luke Babbitt,7.5391061101090902,11.767999999999999
Tyler Zeller,5.8473812288643625,7.4110000000000005
Miles Plumlee,0,4.4669999999999996
Kyle O'Quinn,8.4133870488105185,13.074000000000002
Jonas Jerebko,14.274007961674968,9.2249999999999996
Derrick Williams,12.525791792228517,12.525
C.J. Wilcox,0,0.0
John Jenkins,3.1208374883538426,6.1389999999999993
Ryan Kelly,3.1391053953512014,11.821
Cory Jefferson,0,4.5
Troy Daniels,0,3.5830000000000002
Tim Frazier,0,2.25
Terrence Ross,13.221662602131381,10.382999999999999
Cameron Bairstow,0,2.875
Tarik Black,8.2230399494121009,9.8439999999999994
Anthony Brown,0,2.5
Jerian Grant,15.115209882726592,13.262
Kendall Marshall,0,0.0
Reggie Bullock,0,1.75
Pablo Prigioni,7.6194009628854893,6.7860000000000005
Boban Marjanovic,0,3.9750000000000001
Jonathon Simmons,13.206047115138421,8.3209999999999997
Adreian Payne,10.947329596894809,9.1349999999999998
Marcelo Huertas,10.435490753707752,11.389000000000001
Salah Mejri,0,2.3500000000000001
Ray McCallum,0,2.4249999999999998
Bryce Cotton,0,0.0
Pat Connaughton,0,1.042
Darrun Hilliard,6.1677397186160619,6.0829999999999993
Spencer Dinwiddie,11.227603037976685,10.179
Michael Kidd-Gilchrist,0,0.0
Johnny O'Bryant,0,9.5259999999999998
Larry Nance Jr.,8.1591067040080336,10.0
Josh Richardson,0,3.6880000000000002
Branden Dawson,0,0.0
P.J. Hairston,8.6993870162789726,8.7029999999999994
Norman Powell,0,3.4060000000000001
Jarnell Stokes,0,1.25
Lucas Nogueira,8.3768836010047352,10.417
R.J. Hunter,7.0042033242560873,6.5360000000000005
Richaun Holmes,12.668519809890594,11.205
Kyle Anderson,11.158528473415167,8.5950000000000006
Justin Anderson,0,4.3129999999999997
Archie Goodwin,4.3689932880842246,8.4550000000000001
Anthony Bennett,0,4.0
Cleanthony Early,0,2.214
Delon Wright,0,1.125
Jordan Mickey,3.6026374589490366,6.125
Bobby Portis,5.0443950630995911,7.4170000000000007
Christian Wood,6.8504242726171789,8.6039999999999992
Terry Rozier,0,3.7689999999999997
Tyler Ennis,8.8377555334947147,7.9720000000000004
Noah Vonleh,8.8317219410705707,7.7139999999999995
James Young,0,1.625
Aaron Harrison,0,2.25
Joel Embiid,0,0.0
Bruno Caboclo,0,0.0
Damien Inglis,0,4.7999999999999998
Damjan Rudez,0,4.4379999999999997
Cristiano Felicio,0,1.75
Tyus Jones,0,2.875
Cliff Alexander,0,3.8330000000000002
Kelly Oubre Jr.,0,4.3650000000000002
Devin Booker,9.7554906923845497,8.9710000000000001
Rashad Vaughn,0,4.6429999999999998
Luis Montero,0,2.125
