id,date,game_id,home_team,home_team_score,visit_team,visit_team_score
400578298,2014-10-29,400578298,Boston Celtics,121,Brooklyn Nets,105
400578326,2014-11-01,400578326,Houston Rockets,104,Boston Celtics,90
400578338,2014-11-03,400578338,Dallas Mavericks,118,Boston Celtics,113
400578351,2014-11-05,400578351,Boston Celtics,107,Toronto Raptors,110
400578366,2014-11-07,400578366,Boston Celtics,101,Indiana Pacers,98
400578378,2014-11-08,400578378,Chicago Bulls,101,Boston Celtics,106
400578403,2014-11-12,400578403,Boston Celtics,94,Oklahoma City Thunder,109
400578417,2014-11-14,400578417,Boston Celtics,121,Cleveland Cavaliers,122
400578440,2014-11-17,400578440,Boston Celtics,114,Phoenix Suns,118
400578454,2014-11-19,400578454,Philadelphia 76ers,90,Boston Celtics,101
400578468,2014-11-21,400578468,Memphis Grizzlies,117,Boston Celtics,100
400578486,2014-11-23,400578486,Boston Celtics,88,Portland Trail Blazers,94
400578515,2014-11-28,400578515,Boston Celtics,102,Chicago Bulls,109
400578533,2014-11-30,400578533,Boston Celtics,89,San Antonio Spurs,111
400578546,2014-12-02,400578546,Atlanta Hawks,109,Boston Celtics,105
400578557,2014-12-03,400578557,Boston Celtics,109,Detroit Pistons,102
400578571,2014-12-05,400578571,Boston Celtics,113,Los Angeles Lakers,96
400578586,2014-12-07,400578586,Boston Celtics,101,Washington Wizards,93
400578594,2014-12-08,400578594,Washington Wizards,133,Boston Celtics,132
400578608,2014-12-10,400578608,Charlotte Hornets,96,Boston Celtics,87
400578623,2014-12-12,400578623,Boston Celtics,95,New York Knicks,101
400578649,2014-12-15,400578649,Philadelphia 76ers,87,Boston Celtics,105
400578663,2014-12-17,400578663,Boston Celtics,109,Orlando Magic,92
400578677,2014-12-19,400578677,Boston Celtics,114,Minnesota Timberwolves,98
400578696,2014-12-21,400578696,Miami Heat,100,Boston Celtics,84
400578710,2014-12-23,400578710,Orlando Magic,100,Boston Celtics,95
400578724,2014-12-26,400578724,Boston Celtics,107,Brooklyn Nets,109
400578737,2014-12-27,400578737,Washington Wizards,101,Boston Celtics,88
400578767,2014-12-31,400578767,Boston Celtics,106,Sacramento Kings,84
400578778,2015-01-02,400578778,Boston Celtics,101,Dallas Mavericks,119
400578788,2015-01-03,400578788,Chicago Bulls,109,Boston Celtics,104
400578802,2015-01-05,400578802,Boston Celtics,95,Charlotte Hornets,104
400578819,2015-01-07,400578819,Brooklyn Nets,81,Boston Celtics,89
400578830,2015-01-09,400578830,Indiana Pacers,107,Boston Celtics,103
400578845,2015-01-10,400578845,Toronto Raptors,109,Boston Celtics,96
400578855,2015-01-12,400578855,Boston Celtics,108,New Orleans Pelicans,100
400578872,2015-01-14,400578872,Boston Celtics,91,Atlanta Hawks,105
400578883,2015-01-16,400578883,Boston Celtics,103,Chicago Bulls,119
400578906,2015-01-19,400578906,Los Angeles Clippers,102,Boston Celtics,93
400578931,2015-01-22,400578931,Portland Trail Blazers,89,Boston Celtics,90
400578941,2015-01-23,400578941,Denver Nuggets,99,Boston Celtics,100
400578957,2015-01-25,400578957,Golden State Warriors,114,Boston Celtics,111
400578965,2015-01-26,400578965,Utah Jazz,90,Boston Celtics,99
400578978,2015-01-28,400578978,Minnesota Timberwolves,110,Boston Celtics,98
