id,+/-,3PM-A,AST,BLK,DREB,FGM-A,FTM-A,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,team
0,-11,0-0,3,0,6,5-8,0-0,23,0,2,10,6,0,4,400578298.0,Kevin Garnett,Brooklyn Nets
0,-6,0-0,0,2,3,2-2,0-0,11,1,4,4,4,0,2,400578298.0,Mason Plumlee,Brooklyn Nets
0,-30,2-5,3,0,4,7-19,3-5,34,2,4,19,6,1,2,400578298.0,Joe Johnson,Brooklyn Nets
0,-16,0-3,8,1,3,6-16,7-7,39,0,1,19,3,2,4,400578298.0,Deron Williams,Brooklyn Nets
0,-8,1-2,2,1,0,3-6,0-0,26,0,3,7,0,0,2,400578298.0,Bojan Bogdanovic,Brooklyn Nets
0,+16,0-0,0,0,1,2-2,4-6,9,1,1,8,2,0,0,400578298.0,Cory Jefferson,Brooklyn Nets
0,+4,4-6,1,2,4,8-11,0-0,23,2,1,20,6,0,2,400578298.0,Mirza Teletovic,Brooklyn Nets
0,-8,0-0,0,0,1,0-3,3-4,10,2,0,3,3,1,0,400578298.0,Andrei Kirilenko,Brooklyn Nets
0,-12,0-0,0,0,1,0-0,0-0,6,1,2,0,2,0,1,400578298.0,Jerome Jordan,Brooklyn Nets
0,-7,0-0,2,0,2,5-9,1-2,30,0,1,11,2,2,1,400578298.0,Jarrett Jack,Brooklyn Nets
0,+3,0-0,0,0,3,0-0,0-0,3,0,0,0,3,0,1,400578298.0,Sergey Karasev,Brooklyn Nets
0,-5,0-3,1,1,2,1-4,2-2,25,0,2,4,2,0,1,400578298.0,Alan Anderson,Brooklyn Nets
0,,,,,,,,,,,,,,,400578298.0,Jorge Gutierrez,Brooklyn Nets
0,+11,1-3,2,2,4,5-9,2-3,28,0,2,13,4,0,1,400578298.0,Jared Sullinger,Boston Celtics
0,+15,2-3,3,0,4,4-10,7-9,36,2,5,17,6,2,0,400578298.0,Jeff Green,Boston Celtics
0,+5,1-2,2,0,2,8-14,2-2,29,4,4,19,6,1,1,400578298.0,Kelly Olynyk,Boston Celtics
0,+13,1-3,12,1,7,6-9,0-4,30,0,1,13,7,1,3,400578298.0,Rajon Rondo,Boston Celtics
0,-4,1-3,0,0,0,7-13,0-0,30,0,5,15,0,0,1,400578298.0,Avery Bradley,Boston Celtics
0,+3,0-1,1,0,1,4-7,0-0,16,1,0,8,2,2,3,400578298.0,Brandon Bass,Boston Celtics
0,+4,0-0,1,0,1,3-4,0-0,6,0,1,6,1,0,0,400578298.0,Tyler Zeller,Boston Celtics
0,+20,1-4,2,0,1,3-7,3-3,28,1,2,10,2,4,0,400578298.0,Marcus Smart,Boston Celtics
0,-1,1-2,0,1,0,4-6,1-1,14,0,2,10,0,0,0,400578298.0,Marcus Thornton,Boston Celtics
0,+14,0-1,5,1,6,5-9,0-1,24,1,3,10,7,1,3,400578298.0,Evan Turner,Boston Celtics
0,,,,,,,,,,,,,,,400578298.0,Gerald Wallace,Boston Celtics
0,,,,,,,,,,,,,,,400578298.0,Phil Pressey,Boston Celtics
0,,,,,,,,,,,,,,,400578298.0,James Young,Boston Celtics
1,-15,0-3,2,3,3,6-15,2-3,27,6,5,14,9,1,1,400578326.0,Jared Sullinger,Boston Celtics
1,-22,1-7,2,0,4,7-19,2-2,31,0,2,17,4,0,1,400578326.0,Jeff Green,Boston Celtics
