,Unnamed: 0,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,team,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score,Home
1601,1601,3.0,1.0,0.0,0.0,0.0,7.5,2.0,9.0,3.0,0.0,0.0,16.0,0.0,1.0,6.0,2.0,0.0,2.0,400827889.0,Aaron Brooks,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
1864,1864,,,,,,,,,,,,,,,,,,,400827888.0,Justin Holiday,Atlanta Hawks,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,1
1863,1863,,,,,,,,,,,,,,,,,,,400827888.0,Shelvin Mack,Atlanta Hawks,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,1
1862,1862,-1.0,1.0,0.0,3.0,0.0,23.25,6.0,3.0,1.0,0.0,0.0,19.0,1.0,1.0,2.0,7.0,4.0,0.0,400827888.0,Thabo Sefolosha,Atlanta Hawks,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,1
1861,1861,10.0,1.0,1.0,2.0,0.0,9.75,1.0,1.0,1.0,2.0,2.0,18.0,0.0,4.0,5.0,1.0,0.0,0.0,400827888.0,Lamar Patterson,Atlanta Hawks,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,1
1860,1860,4.0,5.0,2.0,4.0,0.0,34.25,2.0,14.0,8.0,2.0,2.0,25.0,1.0,1.0,20.0,3.0,2.0,1.0,400827888.0,Dennis Schroder,Atlanta Hawks,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,1
1859,1859,-3.0,0.0,0.0,0.0,1.0,11.0,1.0,5.0,2.0,0.0,0.0,16.0,3.0,4.0,4.0,4.0,0.0,0.0,400827888.0,Tiago Splitter,Atlanta Hawks,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,1
857,857,-15.0,3.0,2.0,0.0,0.0,16.5,1.0,8.0,5.0,1.0,1.0,27.0,1.0,2.0,13.0,2.0,0.0,0.0,400827890.0,Dante Cunningham,New Orleans Pelicans,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,0
858,858,-16.0,2.0,0.0,2.0,3.0,32.0,5.0,20.0,4.0,15.0,10.0,35.0,1.0,4.0,18.0,6.0,0.0,5.0,400827890.0,Anthony Davis,New Orleans Pelicans,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,0
859,859,-12.0,0.0,0.0,1.0,0.0,16.5,4.0,5.0,5.0,0.0,0.0,16.0,0.0,1.0,10.0,4.0,0.0,0.0,400827890.0,Kendrick Perkins,New Orleans Pelicans,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,0
